OBJECTID,Route,Leg,FullName,Direction,Length,City,Comment,Type,RouteID
348,61,,Preston,Eastbound,12.93706656,Kitchener/Cambridge,"Route changes Sep 2, 2019",30,283
350,36,,Thomas Slee,Westbound,6.06650635,Kitchener,"New route Sep 2, 2019",30,280
351,61,,Preston,Westbound,11.31371134,Kitchener/Cambridge,"Route changed Sep 2, 2019",30,282
353,36,,Thomas Slee,Eastbound,6.20622383,Kitchener,"New route Sep 2, 2019",30,281
354,206,iXpress,iXpress Coronation,Southbound,19.51385198,Kitchener/Cambridge,"new route Sep 2, 2019",15,286
355,206,iXpress,iXpress Coronation,Northbound,19.40760224,Kitchener/Cambridge,"new route Sep 2, 2019",15,287
357,57,,Blair,Southbound,12.21255803,Kitchener/Cambridge,"New route Sep 2, 2019",30,291
358,67,,Eagle-Pinebush,Westbound,16.38675965,Kitchener/Cambridge,"revised route Sep 2, 2019",30,297
359,57,,Blair,Northbound,11.54883649,Kitchener/Cambridge,"New route Sep 2, 2019",30,290
361,67,,Eagle-Pinebush,Eastbound,16.85625249,Kitchener/Cambridge,"revised route Sep 2, 2019",30,296
362,55,,Grand Ridge,Clockwise,9.82658549,Cambridge,"Route changed Sep 2, 2019",30,289
363,55,,Grand Ridge,Counterclockwise,10.34451578,Cambridge,"Route changed Sep 2, 2019",30,288
367,20,,Victoria-Frederick,Westbound,32.83997559,Kitchener,"revised route Jun 24, 2019",15,907
368,33,,Huron,Westbound,31.06468495,Kitchener,,30,922
369,26,,Trillium,Loop,12.12797657,Kitchener,"revised route Jun 24, 2019",30,913
370,28,,Franklin North,Southbound,5.64918312,Kitchener,"new route Jun 24, 2019",40,916
371,23,,Idlewood,Southbound,19.3835279,Kitchener,,30,955
372,201,iXpress,Fischer-Hallman,Southbound,54.41317759,Kitchener/Waterloo,,10,969
373,16,,Strasburg-Belmont,Peak Trippers,11.28756469,Kitchener/Waterloo,"revised route Jun 24, 2019",30,904
374,12,,Westmount,Northbound,16.47411014,Kitchener/Waterloo,"revised route Jun 24, 2019",15,898
375,12,,Westmount,Southbound,16.47411014,Kitchener/Waterloo,"revised route Jun 24, 2019",15,899
376,31,,Columbia,Eastbound,16.64647215,Waterloo,"revised route Jun 24, 2019",30,921
377,76,busPLUS,Doon Mills (to CCOL),Southbound,6.51096113,Kitchener,"revised route Sep 2, 2019",30,937
379,10,A,Pioneer (via Old Carriage),Southbound,8.07717939,Kitchener,,15,894
380,301,ION,ION LRT,Northbound,32.49587665,Kitchener/Waterloo,"New route Jun 21, 2019",10,947
381,29,,Keats-University,Northbound,17.18082121,Waterloo,"revised route Jun 24, 2019",30,917
383,21,,Elmira,Southbound,14.86364841,Waterloo/Woolwich,,30,909
384,56,,Dunbar,CounterClockwise,10.66313111,Cambridge,,30,961
385,6,,Bridge-Courtland,Northbound,18.72663319,Kitchener/Waterloo,"revised route Jun 24, 2019",30,887
386,34,,Bingemans,Westbound,15.22550764,Kitchener,"revised route Jun 24, 2019",30,923
387,22,,Laurentian West,Eastbound,8.94619504,Kitchener,"revised route Jun 24, 2019",30,910
388,302,ION,ION BUS,Northbound,41.60888937,Kitchener/Cambridge,,10,948
